horizontal segments,vertical segments,runtime(ms)
1000,1000,11.439085006713867
10000,10000,768.8088417053223
100000,100000,75579.66303825378
11000,11000,945.1899528503418
12000,12000,1110.5091571807861
13000,13000,1294.4645881652832
14000,14000,1505.2530765533447
15000,15000,1722.9340076446533
16000,16000,1961.5750312805176
17000,17000,2215.902090072632
18000,18000,2498.3267784118652
19000,19000,2743.4017658233643
2000,2000,33.574819564819336
20000,20000,3057.0359230041504
21000,21000,3385.45560836792
22000,22000,3722.215414047241
23000,23000,4031.203508377075
24000,24000,4373.297929763794
25000,25000,4744.570016860962
26000,26000,5136.324882507324
27000,27000,5549.9866008758545
28000,28000,5951.377868652344
29000,29000,6393.453359603882
3000,3000,75.34289360046387
30000,30000,6819.185972213745
31000,31000,7326.380491256714
32000,32000,7780.703067779541
33000,33000,8294.971466064453
34000,34000,8774.753332138062
35000,35000,9358.529090881348
36000,36000,9818.935871124268
37000,37000,10404.97612953186
38000,38000,11069.782257080078
39000,39000,11696.480989456177
4000,4000,131.67881965637207
40000,40000,12164.604187011719
41000,41000,12792.453527450562
42000,42000,13346.573829650879
43000,43000,14077.975511550903
44000,44000,14739.389896392822
45000,45000,15302.375793457031
46000,46000,16090.753316879272
47000,47000,16809.494733810425
48000,48000,17496.14906311035
49000,49000,18325.70195198059
5000,5000,196.82931900024414
50000,50000,18813.443422317505
51000,51000,19670.087099075317
52000,52000,20382.0698261261
53000,53000,21275.967597961426
54000,54000,22089.39790725708
55000,55000,22832.528829574585
56000,56000,23728.731632232666
57000,57000,24545.83239555359
58000,58000,25358.350038528442
59000,59000,26238.18349838257
6000,6000,278.0425548553467
60000,60000,27101.683616638184
61000,61000,28189.61501121521
62000,62000,29104.048013687134
63000,63000,30013.511896133423
64000,64000,30817.530870437622
65000,65000,31713.78254890442
66000,66000,32878.626346588135
67000,67000,33814.22400474548
68000,68000,34742.03324317932
69000,69000,35329.697608947754
7000,7000,380.6443214416504
70000,70000,37193.22657585144
71000,71000,38048.025608062744
72000,72000,39081.74538612366
73000,73000,40885.334968566895
74000,74000,41205.72233200073
75000,75000,42580.61385154724
76000,76000,43827.13222503662
77000,77000,44652.54831314087
78000,78000,46183.053970336914
79000,79000,47872.69926071167
8000,8000,500.69284439086914
80000,80000,49086.47584915161
81000,81000,48619.50421333313
82000,82000,50114.79043960571
83000,83000,51737.449407577515
84000,84000,54032.456159591675
85000,85000,54469.828844070435
86000,86000,55245.70918083191
87000,87000,56457.523584365845
88000,88000,57942.07167625427
89000,89000,59681.67161941528
9000,9000,628.8135051727295
90000,90000,61009.35506820679
91000,91000,62194.40460205078
92000,92000,63717.35191345215
93000,93000,64551.8798828125
94000,94000,65629.42433357239
95000,95000,67077.54826545715
96000,96000,69359.4172000885
97000,97000,69872.37858772278
98000,98000,72539.28184509277
99000,99000,72820.65010070801
